id,name,filename,relative_path,sha256,size_bytes
1,Electronics research bundle,electronics_research_bundle.zip,bundles/electronics_research_bundle.zip,4368b952dfca124edb7951cc0f795501f19b59c5806f8d562003ccd0926a99fc,25997
2,Air-gapped 8MB module research pack,air_gapped_8mb_module_research_pack.zip,bundles/air_gapped_8mb_module_research_pack.zip,9e3aa6009d51e579d2dd761142a23f1cbca5a8c74552585dcd7e2c6086584032,37778
3,Air-gapped 8MB CAD implementation bundle,airgap8mb_cad_implementation_bundle.zip,bundles/airgap8mb_cad_implementation_bundle.zip,c761ddf3a66e65ccf18ad0bba8fd1db6f96a7d04b8b9c4434c39759546ee7d78,41210
4,Drone CAD implementation bundle,drone_cad_implementation_bundle.zip,bundles/drone_cad_implementation_bundle.zip,a737bc7c994c6ef5694ad680a248c748f2f0fc07072d84a20763785e193764c5,42948
5,Pupper V3 open-source research bundle,pupper_v3_open_source_research_bundle.zip,bundles/pupper_v3_open_source_research_bundle.zip,44222fba357613f6f7dac4a7ef50d5246d74acc1e7154cf9febee068e051b8ea,328187
6,FarmBot open-source research bundle,farmbot_open_source_research_bundle.zip,bundles/farmbot_open_source_research_bundle.zip,a87012f67d79b8ec534c355d4c452396a06d67099c1413d48cc6cb71acb724b7,19963
7,OpenFlexure Microscope research bundle,openflexure_microscope_research_bundle.zip,bundles/openflexure_microscope_research_bundle.zip,2a731647de578b185734eca5634676e971c94765bffb9d8ac23a36dd66685c8b,32046
8,SatNOGS satellite ground-station research bundle,satnogs_ground_station_research_bundle.zip,bundles/satnogs_ground_station_research_bundle.zip,4c421c8d7d5b5f5f62f1d2f048af64576a329031ef46e7e97160e9db5e550219,28095
9,Voron 3D printer engineering bundle,voron_3d_printer_engineering_bundle.zip,bundles/voron_3d_printer_engineering_bundle.zip,654c3e0a12b9dde6aae6cb0c67edd26363d6d113ba1f4d4bc5e4e0b24a8eb8fa,24974
10,OpenEVSE research bundle,openevse_research_bundle.zip,bundles/openevse_research_bundle.zip,62eec6401ac1dd934d1145c54ceff773b7773b502b3ab5bc96f03de61b8f95b8,32197
11,OpenMV + OpenIPC local vision bundle,openmv_openipc_local_vision_bundle.zip,bundles/openmv_openipc_local_vision_bundle.zip,63562164e15bd706db17eb684cde42cf48682070c5e799e6f7fdf093a8eb769c,33257
12,BeagleV-Fire / Milk-V Duo RISC-V edge bundle,riscv_edge_beaglev_fire_milkv_duo_bundle.zip,bundles/riscv_edge_beaglev_fire_milkv_duo_bundle.zip,d8e8d1538ec0760ad1d79aa9d108f65da7ad7fe860e294cba2e06325751c60c1,32486
13,Precious Plastic machine ecosystem bundle,precious_plastic_machine_ecosystem_bundle.zip,bundles/precious_plastic_machine_ecosystem_bundle.zip,6ec1ff6c458f6f6fc6fa8af8e5b0ac494c46e6c7133cd7d0dc0c0af066133465,29541
14,NASA JPL Rover / OpenAMRobot research bundle,nasa_jpl_rover_openamrobot_research_bundle.zip,bundles/nasa_jpl_rover_openamrobot_research_bundle.zip,795cfeaac0a36d245602253e459e977425c2a12037266a382eb0ad3304e421ed,24759
